clusterID,Values,Size,IDs
cluster_11845, 712015520; , 1,walmart_82; 
cluster_6204, 785466999; , 1,walmart_857; 
cluster_7891, 20KH006YUS; IN4AP320; 192330779456; , 1,microcart_50; 
cluster_9547, SB5DBCAAADKX|4GB; , 1,portableone_266; 
cluster_13057, 190780767870; , 1,antonline_439; 
cluster_5764, HEZB15G4JD3R; 190781697817; , 1,sdicraft_565; 
cluster_4845, 884116260660; , 1,techcrave_1951; 
cluster_10146, PC51202; , 1,macmall_49; 
cluster_13968, 190151832992; 20GA000KUS; , 1,truecurate_385; 
cluster_3171, 4015625601095; B06XT33HPS; E6431; , 1,gdxtech_188; 
cluster_16737, 888863691333; F50FF1E7AFEC00AD; , 2,techcrave_1724; massgenie_847; 
cluster_2426, MD761LLA; 657597277454; , 1,bestbuy_179; 
cluster_11206, Z0V7|23GHz|8GB|256GB|En; , 1,portableone_90; 
cluster_11885, TWDES14SP07R5IM8N9; , 1,techcrave_1019; 
cluster_9744, GETBE23CQDAEHXX; , 1,techcrave_2500; 
cluster_20032, 192018058514; , 3,buydig_68; techcrave_66; antonline_108; 
cluster_11832, 111266439; , 1,walmart_572; 
cluster_13009, 889955973634; 20EN002KUS; , 1,howardcomputer_2173; 
cluster_1397, 858603004525; INXP5747; WFGKIDS7GREEN; , 1,microcart_164; 
cluster_2995, 192545002820; 10100; 2KY59UPABA; , 1,nautilusnet_12; 
cluster_13511, 56123866; 827396534298; , 1,walmart_34; 
cluster_1790, 40970746; CN7RN; , 1,pcmg_35; 
cluster_13446, SE4DL5DAADSX; , 1,portableone_314; 
cluster_15039, 191200479519; SP51352N5621; , 2,savingslots_415; antonline_922; 
cluster_13124, 81CDC8A2C706DC43; 192018183483; , 1,massgenie_895; 
cluster_5310, 190781896593; 1KV26UAABA; , 1,howardcomputer_189; 
cluster_1097, 4260216385629; ADP65JHDBL0S6; B0044DVI7I; , 1,gdxtech_4; 
cluster_5072, 191114013434; MLH12LLA; B01LTHXA5O; , 1,electronicsface_34; 
cluster_14157, 192018124653; 2VT82UTABA; , 1,howardcomputer_229; 
cluster_4709, 190198687357; , 1,abt_120; 
cluster_17460, 4719072551292; 9S7-179BC3-814; , 2,box_0233; box_0232; 
cluster_3001, 5056143612377; NC14V1008-256; , 1,box_0344; 
cluster_17778, 884116276012; I75737012GRYPUS; , 2,bestbuy_441; truecurate_361; 
cluster_699, 20L90041US; , 1,howardcomputer_929; 
cluster_14143, 4719072500009; 9S7-179993-200; , 1,box_0226; 
cluster_3772, B071KKPF7L; 4251246154231; , 1,gdxtech_175; 
cluster_8431, LEN20ESS08G00; , 1,techcrave_1131; 
cluster_462, LEP7120HK001; 20HK001QUS; 191545834448; , 1,sdicraft_483; 
cluster_18435, 20LH0018US; 884116326472; , 2,savingslots_51; cukusa_57; 
cluster_14242, 753970; 884116279976; 89TMN; , 1,microcenter_104; 
cluster_1, 889661155614; , 1,techcrave_1556; 
cluster_15804, 889842369939; KJW00001; , 2,bestbuy_898; buydig_61; 
cluster_5803, 191628961085; , 1,buydig_172; 
cluster_11043, B075VMYV9K; 600685905975; 4GBRAM17923; , 1,gdxtech_8; 
cluster_13014, 192158847450; 20M5000GUS; , 1,howardcomputer_2153; 
cluster_4146, HEZB14UG5E06; 3YE06UTABA; , 1,sdicraft_539; 
cluster_8600, 47431727; 884116204275; , 1,walmart_724; 
cluster_8874, A3155138QP; 191114560815; , 1,truecurate_416; 
cluster_11480, 190781342014; , 1,antonline_410; 
cluster_13809, 192563561347; 444500759; , 1,walmart_5; 
cluster_17989, 889899048535; EC864CACD0193120; , 2,massgenie_829; antonline_457; 
cluster_14356, 889661185789; , 1,techcrave_1541; 
cluster_2160, 5391724076934; GR51G; , 1,box_0307; 
cluster_13147, 785268819; , 1,walmart_863; 
cluster_14068, 889661173847; , 1,techcrave_1624; 
cluster_2616, 190780474136; , 1,techcrave_804; 
cluster_11778, 191114087848; , 1,techcrave_1682; 
cluster_2127, 193124842288; , 1,antonline_588; 
cluster_7994, 191376436392; 20HB000YUS; , 1,howardcomputer_1691; 
cluster_11946, 889349963906; , 1,techcrave_1782; 
cluster_13325, FUJM4YU74801049; , 1,techcrave_2231; 
cluster_17096, CF54D2401KM; 885170299122; PACF54D2401K; , 2,sdicraft_108; howardcomputer_163; 
cluster_6591, RZ0902202E75R3U1; 814855025244; , 1,bestbuy_946; 
cluster_5027, DC3RB99UTCA; 192545002776; , 1,kaizyr_113; 
cluster_897, IN9U7282; SMT827VZKAVZW; 887276213699; , 1,microcart_144; 
cluster_11249, 80UV001AUS; 889899102572; B01LNOECI2; , 1,electronicsface_227; 
cluster_18388, 191800631478; NOT04572; 80TH0012UK; , 2,box_0156; cclonline_20; 
cluster_11930, HPI4RA03UTABA; , 1,techcrave_123; 
cluster_1038, SNOINS227176SA; , 1,techcrave_2064; 
cluster_2963, 728659; 719192618947; 15Z980UAAS5U1; , 1,microcenter_53; 
cluster_20399, 191114855287; 1FY91UT; , 3,savingslots_541; buydig_493; antonline_505; 
cluster_3893, 20HH0048US; 192330431460; , 1,truecurate_527; 
cluster_10154, 888182373651; F5Y36UAABA; , 1,howardcomputer_1983; 
cluster_12024, 689808155671; , 1,galleon_96; 
cluster_258, HE840G53RF09; 3RF09UTABA; 192545006231; , 1,sdicraft_269; 
cluster_10184, 192076470358; , 1,techcrave_1200; 
cluster_10479, W0S06UTABA; 889899551073; HEEBFG1W0S06; , 1,sdicraft_104; 
cluster_7320, DC3TR87UTCA; 192545619233; , 1,kaizyr_184; 
cluster_12631, 604714513599; MD104LLA; , 1,bestbuy_247; 
cluster_5842, 80X200D1UK; 191927276798; , 1,box_0165; 
cluster_14784, 659362999; 84282720405; , 2,walmart_415; walmart_433; 
cluster_7747, GETBE23Z5DAEGXX; , 1,techcrave_1049; 
cluster_17113, 885170335813; CF54J204VM; , 2,howardcomputer_733; macmall_474; 
cluster_1350, 20KF005WUS; , 1,howardcomputer_1095; 
cluster_21995, 889349956298; UX461UNDS74T; , 5,rlsteinway_1; cukusa_42; truecurate_474; bestbuy_357; antonline_1044; 
cluster_4170, 193015981430; , 1,antonline_54; 
cluster_7348, 192330060981; , 1,techcrave_1314; 
cluster_5966, SMBOGCMDSHOV6ZF1; , 1,massgenie_137; 
cluster_14972, M80UR001FUS; 41216160; 191376789368; , 2,macmall_42; pcmg_89; 
cluster_16932, 192545039048; 756501225; , 2,walmart_582; buydig_235; 
cluster_7795, LEN20HH003WUS; , 1,techcrave_1150; 
cluster_11479, C3181C871BLKPUS; 884116312871; , 1,bestbuy_375; 
cluster_3990, 889349816127; DCGL702VIWB74CA; , 1,kaizyr_35; 
cluster_18535, 191628024919; 1KT32UAABA; 15CB010NR; , 2,truecurate_180; howardcomputer_131; 
cluster_16947, 192330882910; 20L5004JUS; , 2,howardcomputer_1073; techcrave_1267; 
cluster_9747, 5XACL9AB4MJ2TQJS; , 1,massgenie_796; 
cluster_4984, 886389140175; , 1,techcrave_2135; 
cluster_22257, 20KN003XUS; 40924453; 192158696614; IN2PR274; 192876018613; , 6,savingslots_444; macmall_262; truecurate_98; pcmg_70; microcart_141; bestbuy_800; 
cluster_3743, 4LR52PADEMO; 290088110160; , 1,jw_101; 
